Customer_ID,Order_ID,Order_Date,Product_Category,Product_Sub_Category,Quantity,Price,Discount,Customer_Location,Revenue
CUST_013738,ORD_00102406,01/01/2023,Home & Garden,Gardening Tools,1,419.19,0,TN,419.19
CUST_011726,ORD_00102902,01/01/2023,Electronics,Laptops,1,222.37,0.09,TN,202.35670000000002
CUST_010891,ORD_00103864,01/01/2023,Electronics,Laptops,6,1107.65,0,IN,6645.900000000001
CUST_011452,ORD_00103560,01/01/2023,Electronics,Gaming Consoles,5,288.84,0,MA,1444.1999999999998
CUST_010886,ORD_00100632,02/01/2023,Electronics,Headphones,1,191.27,0,AZ,191.27
CUST_010410,ORD_00103733,02/01/2023,Clothing,Shoes,4,200.47,0.37,MI,505.1844
CUST_011600,ORD_00103814,02/01/2023,Beauty,Personal Care,5,115.09,0.08,MI,529.4140000000001
CUST_012368,ORD_00104082,02/01/2023,Clothing,Shoes,1,118.51,0,IN,118.51
CUST_014778,ORD_00102022,02/01/2023,Books,Non-Fiction,2,30.23,0,TX,60.46
CUST_010262,ORD_00104782,02/01/2023,Home & Garden,Furniture,1,285.41,0,LA,285.41
CUST_011456,ORD_00100626,02/01/2023,Beauty,Personal Care,1,27.53,0,LA,27.53
CUST_011615,ORD_00103622,03/01/2023,Beauty,Skincare,1,16.59,0,KY,16.59
CUST_014005,ORD_00101482,03/01/2023,Electronics,Smart Watches,4,1417.28,0,OK,5669.12
CUST_013862,ORD_00103766,03/01/2023,Sports,Water Sports,1,262.59,0.27,MD,191.69069999999996
CUST_014608,ORD_00103883,04/01/2023,Sports,Winter Sports,1,204.56,0,MN,204.56
CUST_013835,ORD_00103674,04/01/2023,Electronics,Tablets,3,1884.25,0.41,TX,3335.1225000000004
CUST_010934,ORD_00104963,04/01/2023,Home & Garden,Bedding,2,799.61,0.29,CO,1135.4461999999999
CUST_013629,ORD_00104506,04/01/2023,Clothing,Accessories,1,29.9,0,GA,29.9
CUST_011705,ORD_00104918,05/01/2023,Clothing,Mens Shirts,5,84.81,0,IN,424.05
CUST_010104,ORD_00102567,05/01/2023,Home & Garden,Gardening Tools,7,314.05,0,KY,2198.35
CUST_014197,ORD_00104812,05/01/2023,Electronics,Tablets,1,694.07,0,SC,694.07
CUST_011361,ORD_00104720,05/01/2023,Electronics,Tablets,1,253.74,0,AZ,253.74
CUST_013358,ORD_00103988,05/01/2023,Home & Garden,Kitchen Appliances,5,610.83,0,IN,3054.15
CUST_011079,ORD_00104397,05/01/2023,Electronics,Headphones,2,836.92,0,GA,1673.84
CUST_014710,ORD_00100866,05/01/2023,Home & Garden,Kitchen Appliances,2,352.35,0,NY,704.7
CUST_013508,ORD_00104696,06/01/2023,Clothing,Jeans,1,222.19,0,AZ,222.19
CUST_012294,ORD_00103525,06/01/2023,Electronics,Smartphones,4,1078.15,0,CO,4312.6
CUST_013331,ORD_00102230,06/01/2023,Home & Garden,Storage,2,425.3,0,MO,850.6
CUST_013066,ORD_00102305,06/01/2023,Books,Non-Fiction,1,11.25,0,TN,11.25
CUST_010750,ORD_00100470,06/01/2023,Home & Garden,Gardening Tools,1,452.26,0,NC,452.26
CUST_013418,ORD_00102421,06/01/2023,Books,Fiction,1,10.24,0.34,KY,6.758399999999999
CUST_011609,ORD_00103304,06/01/2023,Sports,Water Sports,6,171.47,0.27,MN,751.0386
CUST_010373,ORD_00101379,06/01/2023,Home & Garden,Bedding,3,68.52,0,MI,205.56
CUST_014336,ORD_00103082,06/01/2023,Home & Garden,Storage,1,401.38,0.19,CO,325.11780000000005
CUST_014113,ORD_00104340,06/01/2023,Books,Magazines,1,50.02,0,CO,50.02
CUST_010841,ORD_00104775,06/01/2023,Electronics,Gaming Consoles,1,1895.22,0.35,MO,1231.893
CUST_011369,ORD_00103870,07/01/2023,Beauty,Personal Care,2,32.95,0,OK,65.9
CUST_012577,ORD_00102557,07/01/2023,Sports,Fitness Equipment,1,324.62,0.1,NY,292.158
CUST_012033,ORD_00100397,07/01/2023,Home & Garden,Gardening Tools,1,700.26,0,LA,700.26
CUST_012473,ORD_00100967,07/01/2023,Home & Garden,Kitchen Appliances,3,647.89,0,NJ,1943.67
CUST_013908,ORD_00100104,07/01/2023,Home & Garden,Home Decor,1,145.43,0.18,OR,119.25260000000002
CUST_014512,ORD_00103600,07/01/2023,Clothing,Womens Dresses,1,53.62,0,IL,53.62
CUST_012002,ORD_00104485,07/01/2023,Beauty,Skincare,1,93.51,0,IL,93.51
CUST_012496,ORD_00100479,07/01/2023,Books,Educational,1,46.38,0.11,OK,41.278200000000005
CUST_012379,ORD_00104400,07/01/2023,Home & Garden,Kitchen Appliances,3,221.45,0.1,NC,597.915
CUST_011599,ORD_00102183,07/01/2023,Books,Fiction,1,30.98,0,MI,30.98
CUST_010047,ORD_00104545,08/01/2023,Electronics,Headphones,2,188.5,0,NJ,377
CUST_013993,ORD_00101787,08/01/2023,Clothing,Sportswear,5,120.87,0,TN,604.35
CUST_013243,ORD_00101940,08/01/2023,Home & Garden,Kitchen Appliances,2,590.56,0,NC,1181.12
CUST_011939,ORD_00104099,08/01/2023,Home & Garden,Gardening Tools,2,71.4,0.17,OH,118.524
CUST_011895,ORD_00100917,08/01/2023,Sports,Team Sports,4,336.83,0,CT,1347.32
CUST_013978,ORD_00103425,08/01/2023,Electronics,Smartphones,1,1866.41,0,CO,1866.41
CUST_014027,ORD_00102730,08/01/2023,Home & Garden,Storage,4,208.49,0,CT,833.96
CUST_014258,ORD_00100847,08/01/2023,Books,Magazines,1,11.54,0,KY,11.54
CUST_013592,ORD_00100925,09/01/2023,Clothing,Mens Shirts,1,247.54,0,TN,247.54
CUST_014595,ORD_00101907,09/01/2023,Clothing,Mens Shirts,1,179.63,0,IL,179.63
CUST_011468,ORD_00103596,09/01/2023,Beauty,Makeup,2,34.7,0,VA,69.4
CUST_013556,ORD_00104451,09/01/2023,Home & Garden,Furniture,3,609.24,0,IN,1827.72
CUST_012004,ORD_00104972,09/01/2023,Sports,Water Sports,1,145.41,0,OH,145.41
CUST_011754,ORD_00103994,09/01/2023,Home & Garden,Kitchen Appliances,3,674.13,0,OH,2022.3899999999999
CUST_013022,ORD_00101551,09/01/2023,Sports,Winter Sports,5,231.16,0,PA,1155.8
CUST_010595,ORD_00100056,10/01/2023,Books,Comics,5,50.02,0.5,FL,125.05000000000001
CUST_014982,ORD_00104497,10/01/2023,Beauty,Fragrances,1,82.09,0,NJ,82.09
CUST_012123,ORD_00101766,10/01/2023,Beauty,Personal Care,1,51.91,0.15,PA,44.12349999999999
CUST_011498,ORD_00103553,10/01/2023,Sports,Fitness Equipment,1,141.25,0,NJ,141.25
CUST_013239,ORD_00101713,10/01/2023,Sports,Water Sports,2,321.69,0,OR,643.38
CUST_011002,ORD_00101976,10/01/2023,Home & Garden,Storage,7,125.66,0,NJ,879.62
CUST_013935,ORD_00104151,10/01/2023,Clothing,Womens Dresses,3,76.23,0,OR,228.69
CUST_012504,ORD_00101593,10/01/2023,Books,Magazines,1,26.4,0.1,AZ,23.759999999999998
CUST_011916,ORD_00103782,10/01/2023,Clothing,Mens Shirts,2,269.82,0,WA,539.64
CUST_010307,ORD_00100390,10/01/2023,Home & Garden,Bedding,3,443.33,0,UT,1329.99
CUST_014595,ORD_00100066,10/01/2023,Electronics,Smartphones,1,708.35,0.42,PA,410.8430000000001
CUST_011362,ORD_00103817,11/01/2023,Home & Garden,Bedding,3,54.2,0,LA,162.60000000000002
CUST_014554,ORD_00100129,11/01/2023,Sports,Outdoor Gear,2,71.16,0,AL,142.32
CUST_010392,ORD_00101989,11/01/2023,Clothing,Mens Shirts,1,136.44,0.47,AL,72.31320000000001
CUST_014038,ORD_00101773,11/01/2023,Books,Magazines,1,33.2,0,AL,33.2
CUST_011388,ORD_00102279,11/01/2023,Clothing,Sportswear,6,299.13,0,FL,1794.78
CUST_013191,ORD_00102069,12/01/2023,Sports,Team Sports,3,289.37,0,CO,868.11
CUST_010410,ORD_00102744,12/01/2023,Home & Garden,Furniture,2,733.78,0,WA,1467.56
CUST_011740,ORD_00101055,12/01/2023,Beauty,Makeup,1,38.28,0,NC,38.28
CUST_014218,ORD_00104982,12/01/2023,Sports,Cycling,2,293.59,0,MA,587.18
CUST_011360,ORD_00102891,12/01/2023,Electronics,Laptops,2,259.53,0.13,TX,451.58219999999994
CUST_012851,ORD_00103583,12/01/2023,Electronics,Headphones,4,943.59,0,WA,3774.36
CUST_013057,ORD_00100797,12/01/2023,Sports,Winter Sports,3,299.73,0,TX,899.19
CUST_013201,ORD_00102805,12/01/2023,Home & Garden,Furniture,1,543.2,0,CA,543.2
CUST_010997,ORD_00103486,12/01/2023,Sports,Fitness Equipment,1,221.34,0.08,WA,203.6328
CUST_013648,ORD_00104881,13/01/2023,Books,Non-Fiction,7,57.27,0,GA,400.89000000000004
CUST_011125,ORD_00101842,13/01/2023,Sports,Fitness Equipment,3,293.75,0,CA,881.25
CUST_010069,ORD_00100883,13/01/2023,Beauty,Makeup,3,76.64,0,NY,229.92000000000002
CUST_013654,ORD_00102677,13/01/2023,Beauty,Beauty Tools,2,66.79,0,MD,133.58
CUST_014981,ORD_00102135,13/01/2023,Electronics,Tablets,2,1911.4,0,NJ,3822.8
CUST_014613,ORD_00104029,13/01/2023,Electronics,Headphones,2,1126.07,0,MA,2252.14
CUST_013891,ORD_00104023,13/01/2023,Clothing,Accessories,3,23.88,0,SC,71.64
CUST_013370,ORD_00100449,13/01/2023,Electronics,Smart Watches,1,216.74,0.13,MI,188.56380000000001
CUST_013759,ORD_00102026,14/01/2023,Home & Garden,Home Decor,4,453.83,0.18,LA,1488.5624
CUST_011217,ORD_00103707,14/01/2023,Beauty,Skincare,2,86.08,0,WA,172.16
CUST_014019,ORD_00102692,14/01/2023,Home & Garden,Storage,2,418.65,0,CO,837.3
CUST_012326,ORD_00104780,14/01/2023,Sports,Team Sports,4,59.33,0,OK,237.32
CUST_010902,ORD_00101843,14/01/2023,Beauty,Skincare,5,64.23,0,LA,321.15000000000003
CUST_010581,ORD_00100954,14/01/2023,Clothing,Sportswear,1,57.43,0,CT,57.43
CUST_014097,ORD_00101796,14/01/2023,Beauty,Makeup,2,91.1,0,OR,182.2
CUST_010616,ORD_00103188,15/01/2023,Clothing,Sportswear,3,250.87,0,TN,752.61
CUST_011526,ORD_00100394,15/01/2023,Beauty,Hair Care,2,142.62,0.14,LA,245.3064
CUST_014503,ORD_00104199,15/01/2023,Electronics,Tablets,4,1915.83,0,WA,7663.32
CUST_011641,ORD_00102960,15/01/2023,Beauty,Fragrances,1,145.22,0,CO,145.22
CUST_012105,ORD_00101127,15/01/2023,Beauty,Skincare,4,90.05,0,UT,360.2
CUST_012593,ORD_00101924,15/01/2023,Clothing,Shoes,3,34.51,0.37,NJ,65.2239
CUST_012287,ORD_00101203,15/01/2023,Beauty,Fragrances,1,40.5,0.09,NJ,36.855000000000004
CUST_014660,ORD_00102608,15/01/2023,Clothing,Jeans,2,226.58,0.09,IL,412.3756
CUST_011938,ORD_00103898,15/01/2023,Clothing,Shoes,6,61.89,0.19,TX,300.78540000000004
CUST_014726,ORD_00101929,15/01/2023,Home & Garden,Home Decor,2,670.24,0,CT,1340.48
CUST_010798,ORD_00101898,16/01/2023,Clothing,Jeans,2,44.43,0,KY,88.86
CUST_013762,ORD_00103502,16/01/2023,Sports,Outdoor Gear,1,203.99,0,MO,203.99
CUST_010612,ORD_00104156,16/01/2023,Home & Garden,Kitchen Appliances,1,491.98,0,NY,491.98
CUST_011201,ORD_00103197,16/01/2023,Home & Garden,Furniture,9,236.76,0,PA,2130.84
CUST_013720,ORD_00102164,16/01/2023,Clothing,Mens Shirts,1,247.1,0,LA,247.1
CUST_010852,ORD_00104675,16/01/2023,Books,Comics,1,26.08,0,MA,26.08
CUST_010938,ORD_00101077,16/01/2023,Sports,Winter Sports,1,138.94,0,OH,138.94
CUST_010959,ORD_00103482,16/01/2023,Clothing,Womens Dresses,1,51.04,0,CA,51.04
CUST_012577,ORD_00100460,17/01/2023,Clothing,Accessories,4,153.92,0,OR,615.68
CUST_012180,ORD_00104937,17/01/2023,Electronics,Smart Watches,2,223.41,0.07,UT,415.5426
CUST_013765,ORD_00100538,17/01/2023,Electronics,Laptops,1,1375.31,0,CA,1375.31
CUST_011196,ORD_00100440,17/01/2023,Home & Garden,Bedding,1,544.08,0.39,AZ,331.8888
