Customer_ID,Order_ID,Order_Date,Product_Category,Product_Sub_Category,Quantity,Price,Discount,Customer_Location,Revenue
CUST_013738,ORD_00102406,2023-01-01,Home & Garden,Gardening Tools,1,419.19,0.0,TN,419.19
CUST_011726,ORD_00102902,2023-01-01,Electronics,Laptops,1,222.37,0.09,TN,202.35670000000002
CUST_010891,ORD_00103864,2023-01-01,Electronics,Laptops,6,1107.65,0.0,IN,6645.900000000001
CUST_011452,ORD_00103560,2023-01-01,Electronics,Gaming Consoles,5,288.84,0.0,MA,1444.1999999999998
CUST_010886,ORD_00100632,2023-01-02,Electronics,Headphones,1,191.27,0.0,AZ,191.27
CUST_010410,ORD_00103733,2023-01-02,Clothing,Shoes,4,200.47,0.37,MI,505.1844
CUST_011600,ORD_00103814,2023-01-02,Beauty,Personal Care,5,115.09,0.08,MI,529.4140000000001
CUST_012368,ORD_00104082,2023-01-02,Clothing,Shoes,1,118.51,0.0,IN,118.51
CUST_014778,ORD_00102022,2023-01-02,Books,Non-Fiction,2,30.23,0.0,TX,60.46
CUST_010262,ORD_00104782,2023-01-02,Home & Garden,Furniture,1,285.41,0.0,LA,285.41
CUST_011456,ORD_00100626,2023-01-02,Beauty,Personal Care,1,27.53,0.0,LA,27.53
CUST_011615,ORD_00103622,2023-01-03,Beauty,Skincare,1,16.59,0.0,KY,16.59
CUST_014005,ORD_00101482,2023-01-03,Electronics,Smart Watches,4,1417.28,0.0,OK,5669.12
CUST_013862,ORD_00103766,2023-01-03,Sports,Water Sports,1,262.59,0.27,MD,191.69069999999996
CUST_014608,ORD_00103883,2023-01-04,Sports,Winter Sports,1,204.56,0.0,MN,204.56
CUST_013835,ORD_00103674,2023-01-04,Electronics,Tablets,3,1884.25,0.41,TX,3335.1225000000004
CUST_010934,ORD_00104963,2023-01-04,Home & Garden,Bedding,2,799.61,0.29,CO,1135.4461999999999
CUST_013629,ORD_00104506,2023-01-04,Clothing,Accessories,1,29.9,0.0,GA,29.9
CUST_011705,ORD_00104918,2023-01-05,Clothing,Mens Shirts,5,84.81,0.0,IN,424.05
CUST_010104,ORD_00102567,2023-01-05,Home & Garden,Gardening Tools,7,314.05,0.0,KY,2198.35
CUST_014197,ORD_00104812,2023-01-05,Electronics,Tablets,1,694.07,0.0,SC,694.07
